theta0	mean_final_total_energy	std_final_total_energy	N_samples
0.0000000000	0.000000000000e+00	0.000000000000e+00	5
0.7853981634	4.911021572301e-04	8.604865239327e-06	5
1.5707963268	1.964408628920e-03	3.441946095731e-05	5
2.3561944902	4.419904280989e-03	7.744067009193e-05	5
3.1415926536	7.857634515682e-03	1.376778438292e-04	5
