theta,v_w,H,pilot_kappa,s_vw_fit,p_fit,q_fit,kappa_fit,lambda_fit,A0_theta_fit,A_eff_fit,rel_rmse
0.2617993877991494,0.3,0.05,1.0560000000022285,0.1297397878886659,3.2461426726972884,2.0,0.1370052160107203,1.566811524544684,0.0675060279166707,0.0013552004804935026,0.1694991891458068
0.2617993877991494,0.3,0.1,1.0639199999998827,0.1297397878886659,3.2461426726972884,2.0,0.1380327551304942,1.566811524544684,0.0675060279166707,0.0013552004804935026,0.2117875418436392
0.2617993877991494,0.3,0.2,0.9559199999998946,0.1297397878886659,3.2461426726972884,2.0,0.12402085803851982,1.566811524544684,0.0675060279166707,0.0013552004804935026,0.07804383703396744
0.2617993877991494,0.3,0.5,0.7403999999999187,0.1297397878886659,3.2461426726972884,2.0,0.09605933895275767,1.566811524544684,0.0675060279166707,0.0013552004804935026,0.10693604185845541
0.2617993877991494,0.3,1.0,0.5935199999999378,0.1297397878886659,3.2461426726972884,2.0,0.0770031589076729,1.566811524544684,0.0675060279166707,0.0013552004804935026,0.08905167927790916
0.2617993877991494,0.3,1.5,0.5246399999999559,0.1297397878886659,3.2461426726972884,2.0,0.06806668231790396,1.566811524544684,0.0675060279166707,0.0013552004804935026,0.089614224274334
0.2617993877991494,0.3,2.0,0.4617599999999703,0.1297397878886659,3.2461426726972884,2.0,0.05990864445546651,1.566811524544684,0.0675060279166707,0.0013552004804935026,0.02630722630267511
0.2617993877991494,0.5,0.05,1.4016000000029578,0.17721569422477954,3.2461426726972884,2.0,0.24838551702597517,1.566811524544684,0.0675060279166707,0.007114694229080284,0.10508687008152148
0.2617993877991494,0.5,0.1,1.4015999999998456,0.17721569422477954,3.2461426726972884,2.0,0.24838551702542364,1.566811524544684,0.0675060279166707,0.007114694229080284,0.08865183982918691
0.2617993877991494,0.5,0.2,1.2863999999998583,0.17721569422477954,3.2461426726972884,2.0,0.22797026905073128,1.566811524544684,0.0675060279166707,0.007114694229080284,0.036482753938442226
0.2617993877991494,0.5,0.5,1.0415999999998853,0.17721569422477954,3.2461426726972884,2.0,0.18458786710451003,1.566811524544684,0.0675060279166707,0.007114694229080284,0.10528985243561119
0.2617993877991494,0.5,1.0,0.8507999999999116,0.17721569422477954,3.2461426726972884,2.0,0.15077511264642676,1.566811524544684,0.0675060279166707,0.007114694229080284,0.08173770793840485
0.2617993877991494,0.5,1.5,0.7599999999999392,0.17721569422477954,3.2461426726972884,2.0,0.13468392761082168,1.566811524544684,0.0675060279166707,0.007114694229080284,0.09344619770769384
0.2617993877991494,0.5,2.0,0.6743999999999611,0.17721569422477954,3.2461426726972884,2.0,0.11951426418518443,1.566811524544684,0.0675060279166707,0.007114694229080284,0.041244215738507214
0.2617993877991494,0.7,0.05,1.728720000003648,0.2500414256406645,3.2461426726972884,2.0,0.4322516133344417,1.566811524544684,0.0675060279166707,0.021208438407236494,0.09989019066547064
0.2617993877991494,0.7,0.1,1.7281599999998096,0.2500414256406645,3.2461426726972884,2.0,0.4321115901351232,1.566811524544684,0.0675060279166707,0.021208438407236494,0.038182068911532314
0.2617993877991494,0.7,0.2,1.6032799999998233,0.2500414256406645,3.2461426726972884,2.0,0.4008864169011204,1.566811524544684,0.0675060279166707,0.021208438407236494,0.05074711105166353
0.2617993877991494,0.7,0.5,1.332239999999853,0.2500414256406645,3.2461426726972884,2.0,0.33311518889548214,1.566811524544684,0.0675060279166707,0.021208438407236494,0.11743685086560522
0.2617993877991494,0.7,1.0,1.1031999999998858,0.2500414256406645,3.2461426726972884,2.0,0.2758457007667525,1.566811524544684,0.0675060279166707,0.021208438407236494,0.10246700673128625
0.2617993877991494,0.7,1.5,0.9911999999999228,0.2500414256406645,3.2461426726972884,2.0,0.24784106109500736,1.566811524544684,0.0675060279166707,0.021208438407236494,0.09986964570753543
0.2617993877991494,0.7,2.0,0.8836799999999522,0.2500414256406645,3.2461426726972884,2.0,0.22095660701013045,1.566811524544684,0.0675060279166707,0.021208438407236494,0.06549003725928618
0.2617993877991494,0.9,0.05,2.0606400000043488,0.37230612488506104,3.2461426726972884,2.0,0.7671888931847712,1.566811524544684,0.0675060279166707,0.04795205370108566,0.07899261901033622
0.2617993877991494,0.9,0.1,2.037599999999776,0.37230612488506104,3.2461426726972884,2.0,0.758610960065717,1.566811524544684,0.0675060279166707,0.04795205370108566,0.07854273343958973
0.2617993877991494,0.9,0.2,1.9209599999997884,0.37230612488506104,3.2461426726972884,2.0,0.715185173659128,1.566811524544684,0.0675060279166707,0.04795205370108566,0.09361808210549902
0.2617993877991494,0.9,0.5,1.619279999999822,0.37230612488506104,3.2461426726972884,2.0,0.6028678619038154,1.566811524544684,0.0675060279166707,0.04795205370108566,0.13495248940237478
0.2617993877991494,0.9,1.0,1.3535999999998605,0.37230612488506104,3.2461426726972884,2.0,0.5039535706443666,1.566811524544684,0.0675060279166707,0.04795205370108566,0.0826620966339792
0.2617993877991494,0.9,1.5,1.2211199999999067,0.37230612488506104,3.2461426726972884,2.0,0.454630455219611,1.566811524544684,0.0675060279166707,0.04795205370108566,0.0700843631781251
0.2617993877991494,0.9,2.0,1.0907999999999436,0.37230612488506104,3.2461426726972884,2.0,0.4061115210246036,1.566811524544684,0.0675060279166707,0.04795205370108566,0.03967180168151675
0.7853981633974483,0.3,0.05,1.125360000002375,0.1297397878886659,3.2461426726972884,2.0,0.14600396769869717,1.6483074205151893,0.2208123085663919,0.004432862603580249,0.09392729697824521
0.7853981633974483,0.3,0.1,1.125119999999876,0.1297397878886659,3.2461426726972884,2.0,0.14597283014927967,1.6483074205151893,0.2208123085663919,0.004432862603580249,0.1407295121039361
0.7853981633974483,0.3,0.2,0.9868799999998912,0.1297397878886659,3.2461426726972884,2.0,0.12803760187155247,1.6483074205151893,0.2208123085663919,0.004432862603580249,0.047959473955059576
0.7853981633974483,0.3,0.5,0.7624799999999162,0.1297397878886659,3.2461426726972884,2.0,0.0989239934693391,1.6483074205151893,0.2208123085663919,0.004432862603580249,0.0874460546856141
0.7853981633974483,0.3,1.0,0.6079199999999362,0.1297397878886659,3.2461426726972884,2.0,0.07887141185326949,1.6483074205151893,0.2208123085663919,0.004432862603580249,0.058776892087478036
0.7853981633974483,0.3,1.5,0.5368799999999546,0.1297397878886659,3.2461426726972884,2.0,0.06965469732166105,1.6483074205151893,0.2208123085663919,0.004432862603580249,0.06769360437759284
0.7853981633974483,0.3,2.0,0.4713599999999693,0.1297397878886659,3.2461426726972884,2.0,0.06115414641919757,1.6483074205151893,0.2208123085663919,0.004432862603580249,0.02223780523339031
0.7853981633974483,0.5,0.05,1.491200000003147,0.17721569422477954,3.2461426726972884,2.0,0.2642640432285489,1.6483074205151893,0.2208123085663919,0.023272174440576734,0.11338776488905587
0.7853981633974483,0.5,0.1,1.4779999999998372,0.17721569422477954,3.2461426726972884,2.0,0.26192479606419533,1.6483074205151893,0.2208123085663919,0.023272174440576734,0.07233430739394535
0.7853981633974483,0.5,0.2,1.3367999999998528,0.17721569422477954,3.2461426726972884,2.0,0.2369019400396592,1.6483074205151893,0.2208123085663919,0.023272174440576734,0.04441990649348345
0.7853981633974483,0.5,0.5,1.0687999999998825,0.17721569422477954,3.2461426726972884,2.0,0.18940813398742354,1.6483074205151893,0.2208123085663919,0.023272174440576734,0.07202141096594669
0.7853981633974483,0.5,1.0,0.8735999999999091,0.17721569422477954,3.2461426726972884,2.0,0.1548156304747513,1.6483074205151893,0.2208123085663919,0.023272174440576734,0.048686748455922114
0.7853981633974483,0.5,1.5,0.7787999999999371,0.17721569422477954,3.2461426726972884,2.0,0.13801558266224714,1.6483074205151893,0.2208123085663919,0.023272174440576734,0.0673409102945531
0.7853981633974483,0.5,2.0,0.6899999999999594,0.17721569422477954,3.2461426726972884,2.0,0.12227882901509068,1.6483074205151893,0.2208123085663919,0.023272174440576734,0.03159384172366013
0.7853981633974483,0.7,0.05,1.8356800000038735,0.2500414256406645,3.2461426726972884,2.0,0.4589960442210236,1.6483074205151893,0.2208123085663919,0.06937283069847942,0.14634924263808435
0.7853981633974483,0.7,0.1,1.8171999999998,0.2500414256406645,3.2461426726972884,2.0,0.45437527867416555,1.6483074205151893,0.2208123085663919,0.06937283069847942,0.05328694154719196
0.7853981633974483,0.7,0.2,1.6732799999998156,0.2500414256406645,3.2461426726972884,2.0,0.41838931669596496,1.6483074205151893,0.2208123085663919,0.06937283069847942,0.05653355684665783
0.7853981633974483,0.7,0.5,1.3686399999998493,0.2500414256406645,3.2461426726972884,2.0,0.3422166967888014,1.6483074205151893,0.2208123085663919,0.06937283069847942,0.07646887874644648
0.7853981633974483,0.7,1.0,1.1328799999998826,0.2500414256406645,3.2461426726972884,2.0,0.2832669302797667,1.6483074205151893,0.2208123085663919,0.06937283069847942,0.06356482539104545
0.7853981633974483,0.7,1.5,1.01471999999992,0.2500414256406645,3.2461426726972884,2.0,0.2537220354260751,1.6483074205151893,0.2208123085663919,0.06937283069847942,0.07054823965406533
