# H_PT	beta_over_H	mean_ratio	ratio_sem
# Columns: H_PT, beta/H, mean ratio (PT/no-PT), SEM
0.05	4	18.34751483432232	1.202354289465666
0.05	5	20.177919846624185	1.3769607709717693
0.05	6	21.635228815605036	1.4888376936570014
0.05	8	23.453869012660675	1.5481348935157617
0.05	10	26.081417679665662	1.6585368957256104
0.05	12	28.343370920879682	1.7429618322618865
0.05	16	31.660208446267557	1.97400498968129
0.05	20	35.99183317591305	2.450890267960879
0.05	25	40.33702919028851	3.0321312582567805
0.05	32	43.46235283093909	3.551735745225023
0.05	40	44.67973594231605	3.8063083439068754
0.1	4	13.924921181987834	0.8371897831236303
0.1	5	14.970520601080581	0.8878244597800813
0.1	6	16.47999430663038	0.9597013246407652
0.1	8	18.584697999295305	1.1464980331859267
0.1	10	20.97378801374174	1.3859943560249315
0.1	12	22.4312170461887	1.5477448388171222
0.1	16	24.175701068467365	1.8096913416862805
0.1	20	24.641017397763743	1.878621616118968
0.1	25	24.341253814838648	1.8239271470720944
0.1	32	23.34908015720884	1.7183003461299227
0.1	40	22.26974783801971	1.5966465922649522
0.2	4	11.34386820609118	0.6236559165562653
0.2	5	12.534595655626244	0.7272281371193035
0.2	6	13.320542102080726	0.8191288328482563
0.2	8	14.137363474129877	0.9084851927851779
0.2	10	14.217556176783969	0.9131988253788264
0.2	12	13.977463361950909	0.892681097681803
0.2	16	13.108639826137567	0.8309576926280157
0.2	20	12.242663394112022	0.7817239153164341
0.2	25	11.362161734790332	0.731101084894853
0.2	32	10.474955004217945	0.6763264040234321
0.2	40	9.776619787893052	0.6322250519769612
0.5	4	6.819277472255447	0.38929452791216484
0.5	5	6.4885618130971165	0.3812480199035781
0.5	6	6.160441402824416	0.3667699326479633
0.5	8	5.563346609004208	0.3326221725190555
0.5	10	5.09211337336171	0.3018670678288113
0.5	12	4.722708805255214	0.27707229213165424
0.5	16	4.194041486261539	0.23961483452440913
0.5	20	3.840758156447595	0.21416222862336656
0.5	25	3.5344852965839606	0.19150721548428354
0.5	32	3.247520980760967	0.16986295787427425
0.5	40	3.0313116817968906	0.15336219665014914
1.0	4	3.4447581895677066	0.1810216372875425
1.0	5	3.2298330448317207	0.1668669581756489
1.0	6	3.052010480593916	0.15443909418415594
1.0	8	2.780869628195951	0.13440102028933235
1.0	10	2.5858376519223256	0.11945000074998915
1.0	12	2.441696227471462	0.10831476848360778
1.0	16	2.23953477724104	0.09254268458373456
1.0	20	2.1073710888019876	0.0822362865617871
1.0	25	1.9964177664789884	0.07363811919587397
1.0	32	1.8953800102533733	0.065811615152152
1.0	40	1.8201322455357243	0.059995616159711045
1.5	4	2.3820913328507656	0.09841600649615527
1.5	5	2.255100700249711	0.08991616456675997
1.5	6	2.153309855022998	0.08280703647272492
1.5	8	2.005082426809911	0.07230066532579724
1.5	10	1.9019760163299366	0.06483129695995375
1.5	12	1.8254658568043827	0.05925936444524189
1.5	16	1.721915626193468	0.05169916777901641
1.5	20	1.6549684668194096	0.04678407777574072
1.5	25	1.5983757513370427	0.04263325543658641
1.5	32	1.5459514380844324	0.03878603295215248
1.5	40	1.5060114694647595	0.03584624334112473
2.0	4	2.032095621380505	0.07704387250597158
2.0	5	1.9390040187466413	0.06984391807326182
2.0	6	1.8661028184706687	0.06416730118756458
2.0	8	1.758738415313951	0.05584300605435781
2.0	10	1.6848879114302204	0.05015923765118819
2.0	12	1.6308431545636004	0.04598743833546432
2.0	16	1.5571528344405834	0.040351518759656986
2.0	20	1.5098065994019814	0.03676491496308808
2.0	25	1.4699178876944976	0.033746742406137245
2.0	32	1.4329522991711081	0.030975023357224886
2.0	40	1.4053161889800911	0.02890274868547406
