theta0 H_PT rho
1.832595714594046 0.05 5.368102109059691e-05
1.832595714594046 0.1 0.00015159740112721926
1.832595714594046 0.2 0.00042939974138789694
1.832595714594046 0.5 0.0017119663208723067
1.832595714594046 1.0 0.004865254759788513
1.832595714594046 1.5 0.00886457359418273
1.832595714594046 2.0 0.01384489417076111
0.2617993877991494 0.05 7.75334736360378e-07
0.2617993877991494 0.1 2.2607512073591345e-06
0.2617993877991494 0.2 6.436241383198649e-06
0.2617993877991494 0.5 2.5477660819888132e-05
0.2617993877991494 1.0 7.17054819688201e-05
0.2617993877991494 1.5 0.00013517003972083333
0.2617993877991494 2.0 0.00020051404833793646
2.879793265790644 0.05 0.0003064361054020992
2.879793265790644 0.1 0.0008647357672452926
2.879793265790644 0.2 0.0024544358253479
2.879793265790644 0.5 0.009677568674087528
2.879793265790644 1.0 0.02705952644348143
2.879793265790644 1.5 0.051118674278259245
2.879793265790644 2.0 0.07484679460525512
0.7853981633974483 0.05 7.557526123491698e-06
0.7853981633974483 0.1 2.1383650018833577e-05
0.7853981633974483 0.2 6.072113872505724e-05
0.7853981633974483 0.5 0.00024067213758826274
0.7853981633974483 1.0 0.0006774374097585678
0.7853981633974483 1.5 0.0012725990265607836
0.7853981633974483 2.0 0.0018981951475143446
1.308996938995747 0.05 2.3225477925734594e-05
1.308996938995747 0.1 6.550733465701341e-05
1.308996938995747 0.2 0.00018599684350192547
1.308996938995747 0.5 0.0007388736680150033
1.308996938995747 1.0 0.002087010741233825
1.308996938995747 1.5 0.003883027732372284
1.308996938995747 2.0 0.005879048705101012
2.356194490192345 0.05 0.00011679162271320813
2.356194490192345 0.1 0.000330736506730318
2.356194490192345 0.2 0.0009315896779298784
2.356194490192345 0.5 0.0037042625434696675
2.356194490192345 1.0 0.010567117929458617
2.356194490192345 1.5 0.018816255331039426
2.356194490192345 2.0 0.030350340604782106
