# H_PT	beta_over_H	mean_ratio	ratio_sem
# Columns: H_PT, beta/H, mean ratio (PT/no-PT), SEM
0.05	4	21.399727225576267	1.6542778528923916
0.05	5	22.532159484081248	1.6478217734275793
0.05	6	22.940017481793618	1.6154048785250381
0.05	8	27.458232446019995	2.0886434944589274
0.05	10	31.231389997407618	2.188365177066303
0.05	12	33.85552721559895	2.4210093729527635
0.05	16	38.501272382871136	3.077896457359359
0.05	20	40.36588178894148	3.431414563895896
0.05	25	42.43732259884076	3.850338928730871
0.05	32	43.02394884024118	4.0602791761682075
0.05	40	43.41124446492284	4.222726882214691
0.1	4	15.359716043792135	0.9911314944449922
0.1	5	16.86492070566749	1.1251211901656724
0.1	6	18.004476143321792	1.2203276049298248
0.1	8	19.656757766292728	1.5053072806468428
0.1	10	21.197531226814625	1.7728940648916158
0.1	12	21.7457784738471	1.8263077832670986
0.1	16	22.174429941180538	1.9270545213786163
0.1	20	21.749754257792315	1.887040526859725
0.1	25	21.394438268415822	1.8111698973218058
0.1	32	20.6696843354925	1.691079859645973
0.1	40	19.814227376604823	1.5465364116750622
0.2	4	10.713719666689855	0.7944372447328004
0.2	5	11.163773350335536	0.8572396864464723
0.2	6	11.386114776281035	0.873307518807849
0.2	8	11.613223423880894	0.8840847345448475
0.2	10	11.61003967836138	0.8633989542282767
0.2	12	11.362889909022647	0.8162538500165273
0.2	16	10.742676450099331	0.735700639894202
0.2	20	10.109653221192074	0.6815977723123193
0.2	25	9.439449651717085	0.6369333344497449
0.2	32	8.745902006680573	0.5907766301852397
0.2	40	8.17083955207553	0.5495609587828673
0.5	4	4.6723720275971825	0.26739875386488937
0.5	5	4.578560928850208	0.2610229758433419
0.5	6	4.429165659499015	0.2551241270696523
0.5	8	4.148020078587248	0.23371871700821933
0.5	10	3.922958763269912	0.2194288485606932
0.5	12	3.731611334286718	0.20561159623593367
0.5	16	3.430889214635809	0.1835228956241187
0.5	20	3.206933047903622	0.166533379707361
0.5	25	3.0052436643158322	0.1514005526375333
0.5	32	2.807588566403967	0.13638317461620006
0.5	40	2.6523273678927977	0.12442055776497986
1.0	4	2.410021653669203	0.10543326866724909
1.0	5	2.3323354983960223	0.0990900891066581
1.0	6	2.263789395059771	0.09428968922078541
1.0	8	2.1453033731957385	0.08538743114510249
1.0	10	2.047237772589708	0.07760723564012069
1.0	12	1.9683947305937355	0.0715421015379386
1.0	16	1.8513450541568974	0.06251541070034407
1.0	20	1.7697300250097414	0.05624665378974523
1.0	25	1.6967829861201436	0.05063979196911965
1.0	32	1.6270380252833452	0.045322725049116545
1.0	40	1.5733370645826996	0.04124497535579746
1.5	4	1.7424479429964592	0.05314323723204555
1.5	5	1.699550743632739	0.05018089557185937
1.5	6	1.6600706937521947	0.04726314062017847
1.5	8	1.595676538789353	0.04256597387564106
1.5	10	1.54489508687757	0.03877982496394673
1.5	12	1.504666044013029	0.035863596783071224
1.5	16	1.4448389126382724	0.031455334237650734
1.5	20	1.4036256945640795	0.028422671226588245
1.5	25	1.3674675288589937	0.02577415162344356
1.5	32	1.3324326939643056	0.02322991005241056
1.5	40	1.3062878234917819	0.021332562583318077
2.0	4	1.505555354016027	0.0365394560327068
2.0	5	1.4743640812982146	0.03416887893411365
2.0	6	1.4465149089573273	0.03200836585600169
2.0	8	1.4015936748937121	0.028713061240368726
2.0	10	1.3672454259738542	0.02612842871172462
2.0	12	1.339666534109807	0.024034855006056597
2.0	16	1.3005482840430844	0.021173303202872727
2.0	20	1.2737540730056942	0.01919563792489766
2.0	25	1.2498107823252385	0.017441946267281547
2.0	32	1.227364733013496	0.0158036083505513
2.0	40	1.2106633152641564	0.014593324812017068
