Hb,vw,theta0,tau_n,mass_on_tau,t_trig,kappa
0.001,0.3,0.2617993877991494,1000.0,1000.0,1003.0344000001007,0.9103200000302194
0.0013738237958832624,0.3,0.2617993877991494,727.8953843983153,727.8953843983153,730.929784398416,0.9103200000302194
0.0018873918221350976,0.3,0.2617993877991494,529.8316906283708,529.8316906283708,532.8916906284724,0.9180000000304744
0.002592943797404667,0.3,0.2617993877991494,385.66204211634727,385.66204211634727,388.72204211644885,0.9180000000304744
0.003562247890262444,0.3,0.2617993877991494,280.72162039411756,280.72162039411756,283.80722039422,0.9256800000307294
0.004893900918477494,0.3,0.2617993877991494,204.33597178569417,204.33597178569417,207.44717178568692,0.9333599999978247
0.006723357536499335,0.3,0.2617993877991494,148.7352107293512,148.7352107293512,151.87201072934388,0.9410399999978067
0.009236708571873866,0.3,0.2617993877991494,108.2636733874054,108.2636733874054,111.45087338739798,0.9561599999977716
0.01268961003167922,0.3,0.2617993877991494,78.80462815669912,78.80462815669912,82.04302815669158,0.9715199999977358
0.017433288221999882,0.3,0.2617993877991494,57.36152510448679,57.36152510448679,60.65192510447912,0.9871199999976994
0.02395026619987486,0.3,0.2617993877991494,41.753189365604,41.753189365604,45.120389365596154,1.0101599999976456
0.03290344562312668,0.3,0.2617993877991494,30.391953823131978,30.391953823131978,33.83595382313109,1.0331999999997343
0.04520353656360243,0.3,0.2617993877991494,22.12216291070449,22.12216291070449,25.642162910711917,1.0560000000022285
0.06210169418915616,0.3,0.2617993877991494,16.102620275609393,16.102620275609393,19.649020275616877,1.063920000002245
0.08531678524172806,0.3,0.2617993877991494,11.721022975334805,11.721022975334805,15.267422975334414,1.0639199999998827
0.11721022975334805,0.3,0.2617993877991494,8.531678524172806,8.531678524172806,12.026078524172421,1.0483199999998845
0.16102620275609392,0.3,0.2617993877991494,6.2101694189156165,6.2101694189156165,9.575769418915247,1.009679999999889
0.2212216291070448,0.3,0.2617993877991494,4.520353656360245,4.520353656360245,7.706753656359894,0.9559199999998946
0.3039195382313198,0.3,0.2617993877991494,3.2903445623126677,3.2903445623126677,6.247944562312342,0.8872799999999023
0.41753189365604004,0.3,0.2617993877991494,2.395026619987486,2.395026619987486,5.119026619987186,0.81719999999991
0.5736152510448681,0.3,0.2617993877991494,1.7433288221999874,1.7433288221999874,4.211328822199716,0.7403999999999187
0.7880462815669912,0.3,0.2617993877991494,1.2689610031679222,1.2689610031679222,3.4833610031676785,0.6643199999999269
1.0826367338740541,0.3,0.2617993877991494,0.9236708571873865,0.9236708571873865,2.902070857187179,0.5935199999999378
1.4873521072935119,0.3,0.2617993877991494,0.6723357536499335,0.6723357536499335,2.4211357536497866,0.5246399999999559
2.0433597178569416,0.3,0.2617993877991494,0.48939009184774945,0.48939009184774945,2.0285900918476507,0.46175999999997036
2.8072162039411754,0.3,0.2617993877991494,0.35622478902624444,0.35622478902624444,1.7018247890261855,0.40367999999998233
3.856620421163472,0.3,0.2617993877991494,0.2592943797404667,0.2592943797404667,1.43289437974044,0.352079999999992
5.298316906283707,0.3,0.2617993877991494,0.18873918221350977,0.18873918221350977,1.207939182213508,0.3057599999999994
7.278953843983146,0.3,0.2617993877991494,0.1373823795883264,0.1373823795883264,1.018982379588345,0.26448000000000554
10.0,0.3,0.2617993877991494,0.1,0.1,0.8608000000000166,0.22824000000000497
0.001,0.3,0.7853981633974483,1000.0,1000.0,1003.3416000001109,1.0024800000332788
0.0013738237958832624,0.3,0.7853981633974483,727.8953843983153,727.8953843983153,731.2369843984262,1.0024800000332788
0.0018873918221350976,0.3,0.7853981633974483,529.8316906283708,529.8316906283708,533.1732906284817,1.0024800000332788
0.002592943797404667,0.3,0.7853981633974483,385.66204211634727,385.66204211634727,389.02924211645905,1.0101600000335338
0.003562247890262444,0.3,0.7853981633974483,280.72162039411756,280.72162039411756,284.1144203942302,1.0178400000337888
0.004893900918477494,0.3,0.7853981633974483,204.33597178569417,204.33597178569417,207.7535717856862,1.0252799999976105
0.006723357536499335,0.3,0.7853981633974483,148.7352107293512,148.7352107293512,152.17921072934317,1.033199999997592
0.009236708571873866,0.3,0.7853981633974483,108.2636733874054,108.2636733874054,111.73327338739732,1.0408799999975742
0.01268961003167922,0.3,0.7853981633974483,78.80462815669912,78.80462815669912,82.32542815669092,1.0562399999975383
