# H_PT	beta_over_H	mean_ratio	ratio_sem
# Columns: H_PT, beta/H, mean ratio (PT/no-PT), SEM
0.05	4	44.17972537338187	3.3673944147117987
0.05	5	44.68324282238822	3.5291204008729524
0.05	6	49.205500043647724	4.191463930387429
0.05	8	47.43150437981412	3.917277439463583
0.05	10	49.21376142234678	3.913514280905058
0.05	12	49.793238593539535	4.154138739507764
0.05	16	49.17129140424899	4.304192437907277
0.05	20	47.156039334054334	4.176131877465744
0.05	25	46.46658089773677	4.268234338043378
0.05	32	44.81782325529894	4.117209554704868
0.05	40	43.84683589771431	4.095937264411541
0.1	4	22.499931116008742	1.6981439280982455
0.1	5	23.358940491872975	1.8986115686122986
0.1	6	23.382897334798084	1.9227695869188222
0.1	8	23.006665939729707	1.9584588068936597
0.1	10	23.131812252733788	2.0011548896961027
0.1	12	22.795943822064224	2.0079912078812385
0.1	16	22.022979420622967	1.891782189127666
0.1	20	21.447729158720772	1.822459460739239
0.1	25	20.727495072054158	1.7017196711504752
0.1	32	19.850347857575905	1.5882598185905974
0.1	40	19.040636707601415	1.4647589494839222
0.2	4	10.802050528126866	0.8544572365474131
0.2	5	10.776536245774869	0.8340722482696361
0.2	6	11.073594953823463	0.8514387397599896
0.2	8	10.875008286849509	0.8220837953477323
0.2	10	10.700657668418962	0.7821768370745037
0.2	12	10.476885308143874	0.7529025032890058
0.2	16	9.952627920056784	0.70185716879826
0.2	20	9.393497312500365	0.652304524630116
0.2	25	8.809383362928573	0.6045685994505017
0.2	32	8.209248461734342	0.556166907799021
0.2	40	7.714803125021475	0.5153664432124928
