theta0	H_PT	beta_over_H	beta	v_w	rho_noPT	mean_ratio	std_ratio	N_samples
0.523598775598	0.1	10	1.0	0.3	9.279125151807e-06	2.722437029198e+01	4.268544816435e-01	5
0.523598775598	0.1	10	1.0	0.4	9.279125151807e-06	2.775602710435e+01	5.222403520621e-01	5
0.523598775598	0.1	10	1.0	0.7	9.279125151807e-06	3.146779822996e+01	9.178107104800e-01	5
0.523598775598	0.1	20	2.0	0.3	9.279125151807e-06	3.187451668573e+01	1.191604833970e-01	5
0.523598775598	0.1	20	2.0	0.4	9.279125151807e-06	3.293717340243e+01	1.599447710549e-01	5
0.523598775598	0.1	20	2.0	0.7	9.279125151807e-06	3.260260526867e+01	1.640916998631e-01	5
0.523598775598	0.1	40	4.0	0.3	9.279125151807e-06	2.863502880255e+01	2.528920067231e-02	5
0.523598775598	0.1	40	4.0	0.4	9.279125151807e-06	2.920156572342e+01	3.511545908725e-02	5
0.523598775598	0.1	40	4.0	0.7	9.279125151807e-06	2.845524610294e+01	4.775724765006e-02	5
0.523598775598	1.5	4	6.0	0.3	5.378068424761e-04	4.527039982189e+00	0.000000000000e+00	1
0.523598775598	1.5	4	6.0	0.4	5.378068424761e-04	3.798344462208e+00	0.000000000000e+00	1
0.523598775598	1.5	4	6.0	0.7	5.378068424761e-04	2.820462404619e+00	0.000000000000e+00	1
0.523598775598	1.5	10	15.0	0.3	5.378068424761e-04	4.389910818345e+00	0.000000000000e+00	1
0.523598775598	1.5	10	15.0	0.4	5.378068424761e-04	3.714518785647e+00	0.000000000000e+00	1
0.523598775598	1.5	10	15.0	0.7	5.378068424761e-04	2.723687258601e+00	0.000000000000e+00	1
0.523598775598	1.5	20	30.0	0.3	5.378068424761e-04	4.261470182037e+00	0.000000000000e+00	1
0.523598775598	1.5	20	30.0	0.4	5.378068424761e-04	3.617492825691e+00	0.000000000000e+00	1
0.523598775598	1.5	20	30.0	0.7	5.378068424761e-04	2.615834895315e+00	0.000000000000e+00	1
0.523598775598	1.5	40	60.0	0.3	5.378068424761e-04	4.147848974901e+00	0.000000000000e+00	1
0.523598775598	1.5	40	60.0	0.4	5.378068424761e-04	3.537413457541e+00	0.000000000000e+00	1
0.523598775598	1.5	40	60.0	0.7	5.378068424761e-04	2.519938101369e+00	0.000000000000e+00	1
